,organizationName,employees,headquarters,ceoName,industries,yearFounded,state,rank
45,Aerojet Rocketdyne,5000.0, California,Eileen P. Drake,Aerospace & Defense,1915.0,California,74
46,Aerotek,2400.0, Maryland,Tom Kelly,Business Services & Supplies,1983.0,Washington,32
47,Aflac,4851.0, Georgia,Daniel P. Amos,Insurance,1955.0,Georgia,6
48,Ahold USA,32000.0, Massachusetts,Frans Muller,Retail and Wholesale,1977.0,Delaware,15
49,Ahold USA,32000.0, Massachusetts,Frans Muller,Retail and Wholesale,1977.0,New Hampshire,13
50,Ahold USA,32000.0, Massachusetts,Frans Muller,Retail and Wholesale,1977.0,New Jersey,68
51,AHRC New York City,4000.0, New York,Marco Damiani,Health Care,1948.0,New York,92
52,Air Liquide,66436.0, Texas,Benoît Potier,"Construction, Oil & Gas Operations, Mining and Chemicals",1902.0,Texas,20
53,Air Products & Chemicals,20000.0, Pennsylvania,Seifi Ghasemi,"Construction, Oil & Gas Operations, Mining and Chemicals",1940.0,Pennsylvania,56
54,AIRBUS,126495.0, Netherlands,Guillaume Faury,"Engineering, Manufacturing",1970.0,Alabama,15
55,Akron Children's Hospital,7789.0, Ohio,Christopher Gessner,Health Care,1890.0,Ohio,28
56,Alabama Department of Public Health,2605.0, Alabama,Gary F. Leung,Health Care,1875.0,Alabama,28
57,Alameda County,22217.0, California,Susan S. Muranishi,Government Services,1853.0,California,14
58,Alaska Airlines,22833.0, Washington,Ben Minicucci,Transportation and Logistics,1932.0,California,66
59,Alaska Airlines,22833.0, Washington,Ben Minicucci,Transportation and Logistics,1932.0,Washington,13
60,Albert Einstein College of Medicine,5200.0, New York,Edward Burns,Education,1953.0,New York,68
61,Alcoa,12200.0, Pennsylvania,Roy Harvey,"Engineering, Manufacturing",1888.0,Pennsylvania,87
62,Alcon,24389.0, Texas,David J. Endicott,Drugs & Biotechnology,1945.0,Texas,64
63,ALDI,25000.0, Illinois,Jason Hart,Retail and Wholesale,1976.0,Illinois,26
64,ALDI,25000.0, Illinois,Jason Hart,Retail and Wholesale,1976.0,Iowa,3
65,ALDI,25000.0, Illinois,Jason Hart,Retail and Wholesale,1976.0,Maryland,60
66,ALDI,25000.0, Illinois,Jason Hart,Retail and Wholesale,1976.0,Minnesota,6
67,ALDI,25000.0, Illinois,Jason Hart,Retail and Wholesale,1976.0,Missouri,51
68,ALDI,25000.0, Illinois,Jason Hart,Retail and Wholesale,1976.0,Pennsylvania,95
69,Alfa Insurance,2600.0, Alabama,Jimmy Parnell,Insurance,1946.0,Alabama,41
70,All Star Transportation,1000.0, Pennsylvania,Patrick Vaughan,Transportation and Logistics,2004.0,Connecticut,29
71,Allegheny Health Network,21000.0, Pennsylvania,Cynthia Hundorfean,Health Care,2013.0,Pennsylvania,85
72,Allied Universal,300000.0, Pennsylvania,Mark Olivas,Business Services & Supplies,1957.0,Indiana,71
73,Allied Universal,300000.0, Pennsylvania,Mark Olivas,Business Services & Supplies,1957.0,South Carolina,42
74,Ally Financial,10500.0, Michigan,Jeffrey J. Brown,Banking and Financial Services,1919.0,Michigan,16
75,Ally Financial,10500.0, Michigan,Jeffrey J. Brown,Banking and Financial Services,1919.0,Texas,91
76,Alpine School District,3884.0, Utah,Shane J. Farnsworth,Education,1915.0,Utah,13
77,Alta Resources,36100.0, Wisconsin,James F. Bere Jr.,Business Services & Supplies,1995.0,Wisconsin,68
78,Altria Group,6000.0, Virginia,Billy Gifford,"Food, Soft Beverages, Alcohol & Tobacco",1919.0,Virginia,43
79,Amazon,1608000.0, Washington,Andy Jassy,Retail and Wholesale,1994.0,Alabama,38
80,Amazon,1608000.0, Washington,Andy Jassy,Retail and Wholesale,1994.0,Arizona,55
81,Amazon,1608000.0, Washington,Andy Jassy,Retail and Wholesale,1994.0,Arkansas,21
82,Amazon,1608000.0, Washington,Andy Jassy,Retail and Wholesale,1994.0,Delaware,12
83,Amazon,1608000.0, Washington,Andy Jassy,Retail and Wholesale,1994.0,Georgia,81
84,Amazon,1608000.0, Washington,Andy Jassy,Retail and Wholesale,1994.0,Illinois,84
85,Amazon,1608000.0, Washington,Andy Jassy,Retail and Wholesale,1994.0,Indiana,56
86,Amazon,1608000.0, Washington,Andy Jassy,Retail and Wholesale,1994.0,Kansas,30
87,Amazon,1608000.0, Washington,Andy Jassy,Retail and Wholesale,1994.0,Kentucky,34
88,Amazon,1608000.0, Washington,Andy Jassy,Retail and Wholesale,1994.0,Louisiana,17
89,Amazon,1608000.0, Washington,Andy Jassy,Retail and Wholesale,1994.0,Massachusetts,68
90,Amazon,1608000.0, Washington,Andy Jassy,Retail and Wholesale,1994.0,Michigan,59
91,Amazon,1608000.0, Washington,Andy Jassy,Retail and Wholesale,1994.0,Nevada,21
92,Amazon,1608000.0, Washington,Andy Jassy,Retail and Wholesale,1994.0,New Jersey,88
93,Amazon,1608000.0, Washington,Andy Jassy,Retail and Wholesale,1994.0,New Mexico,7
94,Amazon,1608000.0, Washington,Andy Jassy,Retail and Wholesale,1994.0,New York,86
95,Amazon,1608000.0, Washington,Andy Jassy,Retail and Wholesale,1994.0,North Carolina,76
96,Amazon,1608000.0, Washington,Andy Jassy,Retail and Wholesale,1994.0,Ohio,85
97,Amazon,1608000.0, Washington,Andy Jassy,Retail and Wholesale,1994.0,Oklahoma,21
98,Amazon,1608000.0, Washington,Andy Jassy,Retail and Wholesale,1994.0,Oregon,30
99,Amazon,1608000.0, Washington,Andy Jassy,Retail and Wholesale,1994.0,Rhode Island,7
100,Amazon,1608000.0, Washington,Andy Jassy,Retail and Wholesale,1994.0,South Carolina,55
101,Amazon,1608000.0, Washington,Andy Jassy,Retail and Wholesale,1994.0,Utah,19
102,Amazon,1608000.0, Washington,Andy Jassy,Retail and Wholesale,1994.0,Virginia,85
103,Amazon,1608000.0, Washington,Andy Jassy,Retail and Wholesale,1994.0,Washington,45
104,Amazon,1608000.0, Washington,Andy Jassy,Retail and Wholesale,1994.0,West Virginia,13
105,AMC Networks,2357.0, New York,Matt Blank,Media & Advertising,1980.0,New York,79
106,Amcor ,46000.0, Wisconsin,Ron Delia,"Engineering, Manufacturing",1986.0,Wisconsin,15
107,Amerco,32200.0, Nevada,Edward J. Shoen,Business Services & Supplies,1945.0,Georgia,100
108,Amerco,32200.0, Nevada,Edward J. Shoen,Business Services & Supplies,1945.0,Nevada,32
109,Ameren,9000.0, Missouri,Martin J. Lyons JR.,Utilities,1902.0,Missouri,29
110,America First Credit Union,2862.0, Utah,Ray Hagen,Banking and Financial Services,1939.0,Utah,22
111,American Airlines Group,123400.0, Texas,Robert Isom,Transportation and Logistics,1930.0,Arizona,41
112,American Airlines Group,123400.0, Texas,Robert Isom,Transportation and Logistics,1930.0,Illinois,65
113,American Airlines Group,123400.0, Texas,Robert Isom,Transportation and Logistics,1930.0,New York,83
114,American Airlines Group,123400.0, Texas,Robert Isom,Transportation and Logistics,1930.0,North Carolina,96
115,American Airlines Group,123400.0, Texas,Robert Isom,Transportation and Logistics,1930.0,Pennsylvania,91
116,American Airlines Group,123400.0, Texas,Robert Isom,Transportation and Logistics,1930.0,Virginia,82
117,American Automobile Association (AAA),5805.0, Florida,Marshall Doney,Insurance,1902.0,Florida,92
118,AAM - American Axle & Manufacturing,6000.0, Michigan,David C. Dauch,Automotive (Automotive and Suppliers),1994.0,Michigan,35
119,American Electric Power,16700.0, Ohio,Nicholas K. Akins,Utilities,1906.0,Indiana,22
120,American Electric Power,16700.0, Ohio,Nicholas K. Akins,Utilities,1906.0,Ohio,46
121,American Electric Power,16700.0, Ohio,Nicholas K. Akins,Utilities,1906.0,Oklahoma,24
122,American Electric Power,16700.0, Ohio,Nicholas K. Akins,Utilities,1906.0,Texas,93
123,American Electric Power,16700.0, Ohio,Nicholas K. Akins,Utilities,1906.0,West Virginia,11
124,American Express,22000.0, New York,Stephen J. Squeri,Banking and Financial Services,1850.0,Arizona,11
125,American Express,22000.0, New York,Stephen J. Squeri,Banking and Financial Services,1850.0,Florida,27
126,American Express,22000.0, New York,Stephen J. Squeri,Banking and Financial Services,1850.0,New York,89
127,American Family Insurance,5805.0, Wisconsin,Bill Westrate,Insurance,1927.0,Wisconsin,41
128,American National Red Cross,20000.0, District of Columbia,Gail McGovern,Health Care,1881.0,North Carolina,34
129,American National Red Cross,20000.0, District of Columbia,Gail McGovern,Health Care,1881.0,South Carolina,23
130,American Savings Bank,1100.0, Hawaii,Ann Teranishi,Banking and Financial Services,1925.0,Hawaii,5
131,American Systems,1600.0, Virginia,Peter L. Smith,"IT, Internet, Software & Services",1975.0,Virginia,87
132,AmeriHealth Caritas,7300.0, Pennsylvania,Paul A. Tufano,Health Care,1983.0,Pennsylvania,15
133,AmerisourceBergen,16800.0, Pennsylvania,Steven H. Collis,Retail and Wholesale,1969.0,South Carolina,21
134,Amgen,24200.0, California,Robert A. Bradway,Drugs & Biotechnology,1980.0,California,79
135,Amtrak,17100.0, District of Columbia,Stephen J. Gardner,Transportation and Logistics,1971.0,Pennsylvania,5
136,Andersen Corporation,12000.0, Minnesota,Jay R. Lund,"Engineering, Manufacturing",1903.0,Minnesota,57
137,Anheuser-Busch InBev,169339.0, Missouri,Michel Dimitrios Doukeris,"Food, Soft Beverages, Alcohol & Tobacco",2008.0,California,96
138,Anheuser-Busch InBev,169339.0, Missouri,Michel Dimitrios Doukeris,"Food, Soft Beverages, Alcohol & Tobacco",2008.0,Missouri,74
139,Anheuser-Busch InBev,169339.0, Missouri,Michel Dimitrios Doukeris,"Food, Soft Beverages, Alcohol & Tobacco",2008.0,Texas,46
140,Ankeny Comm School District,5200.0, Iowa,Erick Pruitt,Education,1850.0,Iowa,4
141,AnMed Health,3600.0, South Carolina,William Kenley,Health Care,1908.0,South Carolina,41
142,Ann & Robert H. Lurie Children's Hospital of Chicago,12000.0, Illinois,Thomas Shanley,Health Care,1882.0,Illinois,86
143,Aon,50000.0, Ireland,Gregory C. Case,Insurance,1982.0,Texas,76
144,Apple,154000.0, California,Tim Cook,Electronics,1976.0,Arizona,21
145,Apple,154000.0, California,Tim Cook,Electronics,1976.0,California,39
146,Apple,154000.0, California,Tim Cook,Electronics,1976.0,Florida,38
147,Apple,154000.0, California,Tim Cook,Electronics,1976.0,Georgia,13
148,Apple,154000.0, California,Tim Cook,Electronics,1976.0,Illinois,9
149,Apple,154000.0, California,Tim Cook,Electronics,1976.0,Maryland,10
150,Apple,154000.0, California,Tim Cook,Electronics,1976.0,Massachusetts,7
151,Apple,154000.0, California,Tim Cook,Electronics,1976.0,Michigan,23
152,Apple,154000.0, California,Tim Cook,Electronics,1976.0,Nevada,3
153,Apple,154000.0, California,Tim Cook,Electronics,1976.0,New Jersey,17
154,Apple,154000.0, California,Tim Cook,Electronics,1976.0,New York,18
155,Apple,154000.0, California,Tim Cook,Electronics,1976.0,North Carolina,15
156,Apple,154000.0, California,Tim Cook,Electronics,1976.0,Pennsylvania,40
157,Apple,154000.0, California,Tim Cook,Electronics,1976.0,Tennessee,43
158,Apple,154000.0, California,Tim Cook,Electronics,1976.0,Texas,36
159,Apple,154000.0, California,Tim Cook,Electronics,1976.0,Virginia,20
160,Apple,154000.0, California,Tim Cook,Electronics,1976.0,Washington,6
161,Appleton Area School District,1615.0, Wisconsin,Judy Baseman,Education,1850.0,Wisconsin,69
162,Applied Materials,27000.0, California,Gary E. Dickerson,Electronics,1967.0,California,24
163,Aramark,248300.0, Pennsylvania,John J. Zillmer,Business Services & Supplies,1936.0,Indiana,70
164,Aramark,248300.0, Pennsylvania,John J. Zillmer,Business Services & Supplies,1936.0,Tennessee,59
165,ArcBest,13000.0, Arkansas,Judy McReynolds,Transportation and Logistics,1923.0,Ohio,68
166,Arconic,13900.0, Pennsylvania,Timothy D. Myers,"Engineering, Manufacturing",1888.0,Tennessee,34
167,Arizona Public Service (APS),6000.0, Arizona,Jeff Guldner,Utilities,1885.0,Arizona,14
168,Arizona State University,5200.0, Arizona,Michael M. Crow,Education,1885.0,Arizona,30
169,Arkansas Blue Cross and Blue Shield,3200.0, Arkansas,Curtis Barnett,Insurance,1929.0,Arkansas,12
170,Arkansas Children's Hospital,5105.0, Arkansas,Marcella Doderer,Health Care,1912.0,Arkansas,1
171,Arkansas Tech University,5200.0, Arkansas,Robin E. Bowen,Education,1909.0,Arkansas,5
172,ARUP Laboratories,3000.0, Utah,Andy Theurer,Drugs & Biotechnology,1984.0,Utah,8
173,Arvest Bank,6000.0, Arkansas,Kevin Sabin,Banking and Financial Services,1961.0,Arkansas,13
174,Asante,6000.0, Oregon,Scott Kelly,Health Care,1995.0,Oregon,28
175,Ascension,150000.0, Missouri,Joseph R. Impicciche,Health Care,1999.0,Indiana,74
176,Ascension,150000.0, Missouri,Joseph R. Impicciche,Health Care,1999.0,Kansas,15
177,Ascension,150000.0, Missouri,Joseph R. Impicciche,Health Care,1999.0,Tennessee,60
178,Aspen Skiing Company,1000.0, Colorado,Mike Kaplan,"Travel, Hotels, Restaurants, Leisure",1946.0,Colorado,20
179,Assurant,15600.0, New York,Alan B. Colberg,Insurance,1892.0,Ohio,96
180,Asurion,19000.0, Tennessee,Tony Detter,"IT, Internet, Software & Services",1994.0,Arizona,44
181,Atlantic Health System,18000.0, New Jersey,Brian Gragnolati,Health Care,1995.0,New Jersey,18
182,AtlantiCare,6400.0, New Jersey,Lori Herndon,Health Care,1993.0,New Jersey,28
183,Atmos Energy,4684.0, Texas,Kevin Akers,Utilities,1906.0,Texas,47
184,Atrium Health,70000.0, North Carolina,Eugene A. Woods,Health Care,1940.0,Georgia,75
185,Atrium Health,70000.0, North Carolina,Eugene A. Woods,Health Care,1940.0,North Carolina,26
186,AT&T,203000.0, Texas,John Stankey,"Telecommunications Services, Cable Supplier",1876.0,Arkansas,23
187,AT&T,203000.0, Texas,John Stankey,"Telecommunications Services, Cable Supplier",1876.0,New Jersey,90
188,AT&T,203000.0, Texas,John Stankey,"Telecommunications Services, Cable Supplier",1876.0,New York,100
189,AT&T,203000.0, Texas,John Stankey,"Telecommunications Services, Cable Supplier",1876.0,North Carolina,55
190,AT&T,203000.0, Texas,John Stankey,"Telecommunications Services, Cable Supplier",1876.0,Ohio,82
191,AT&T,203000.0, Texas,John Stankey,"Telecommunications Services, Cable Supplier",1876.0,South Carolina,35
192,AT&T,203000.0, Texas,John Stankey,"Telecommunications Services, Cable Supplier",1876.0,Tennessee,76
193,AT&T,203000.0, Texas,John Stankey,"Telecommunications Services, Cable Supplier",1876.0,Virginia,74
194,AT&T,203000.0, Texas,John Stankey,"Telecommunications Services, Cable Supplier",1876.0,Washington,55
195,Auburn School District,951.0, Washington,Alan Spicciati,Education,1896.0,Washington,56
196,Auburn University,5493.0, Alabama,Jay Gogue,Education,1856.0,Alabama,7
197,Auburn-Washburn Unified School District 437,5200.0, Kansas,Scott McWilliams,Education,1966.0,Kansas,10
198,Augusta University,6500.0, Georgia,Brooks A. Keel,Education,1828.0,Georgia,73
199,Augusta University Health,12000.0, Georgia,,Health Care,2010.0,Georgia,17
200,Aultman Hospital,12000.0, Ohio,Tony Snyder,Health Care,1892.0,Ohio,78
201,Aurora Public Schools,5093.0, Colorado,Rico Munn,Education,1962.0,Colorado,34
202,Automatic Data Processing,56000.0, New Jersey,Carlos Rodriguez,Business Services & Supplies,1949.0,New Jersey,34
203,Automatic Data Processing,56000.0, New Jersey,Carlos Rodriguez,Business Services & Supplies,1949.0,Pennsylvania,60
204,AutoZone,100000.0, Tennessee,"William C. Rhodes, III",Retail and Wholesale,1979.0,Indiana,44
205,AutoZone,100000.0, Tennessee,"William C. Rhodes, III",Retail and Wholesale,1979.0,Kentucky,41
206,AutoZone,100000.0, Tennessee,"William C. Rhodes, III",Retail and Wholesale,1979.0,Mississippi,12
207,Avalon Health Care,7000.0, Utah,Alan  Hash,Health Care,2013.0,Utah,35
208,Avangrid,7000.0, Connecticut,Dennis Arriola,Utilities,2015.0,Connecticut,37
209,Aveanna Healthcare,12000.0, Georgia,Tony Strange,Health Care,1984.0,Georgia,56
210,Averitt Express,5000.0, Tennessee,Gary Sasser,Transportation and Logistics,1958.0,North Carolina,16
211,BAE Systems,90500.0, Virginia,Charles Nicolas Woodburn,Aerospace & Defense,1999.0,Indiana,54
212,BAE Systems,90500.0, Virginia,Charles Nicolas Woodburn,Aerospace & Defense,1999.0,Maryland,49
213,BAE Systems,90500.0, Virginia,Charles Nicolas Woodburn,Aerospace & Defense,1999.0,New Hampshire,3
214,BAE Systems,90500.0, Virginia,Charles Nicolas Woodburn,Aerospace & Defense,1999.0,New York,77
215,BAE Systems,90500.0, Virginia,Charles Nicolas Woodburn,Aerospace & Defense,1999.0,Tennessee,17
216,BAE Systems,90500.0, Virginia,Charles Nicolas Woodburn,Aerospace & Defense,1999.0,Virginia,71
217,Bank of America,166400.0, North Carolina,Brian Moynihan,Banking and Financial Services,1904.0,Arizona,57
218,Bank of America,166400.0, North Carolina,Brian Moynihan,Banking and Financial Services,1904.0,Colorado,54
219,Bank of America,166400.0, North Carolina,Brian Moynihan,Banking and Financial Services,1904.0,Connecticut,32
220,Bank of America,166400.0, North Carolina,Brian Moynihan,Banking and Financial Services,1904.0,Delaware,9
221,Bank of America,166400.0, North Carolina,Brian Moynihan,Banking and Financial Services,1904.0,Georgia,44
222,Bank of America,166400.0, North Carolina,Brian Moynihan,Banking and Financial Services,1904.0,Illinois,62
223,Bank of America,166400.0, North Carolina,Brian Moynihan,Banking and Financial Services,1904.0,Kansas,20
224,Bank of America,166400.0, North Carolina,Brian Moynihan,Banking and Financial Services,1904.0,Maryland,47
225,Bank of America,166400.0, North Carolina,Brian Moynihan,Banking and Financial Services,1904.0,Massachusetts,59
226,Bank of America,166400.0, North Carolina,Brian Moynihan,Banking and Financial Services,1904.0,Missouri,42
227,Bank of America,166400.0, North Carolina,Brian Moynihan,Banking and Financial Services,1904.0,Nevada,18
228,Bank of America,166400.0, North Carolina,Brian Moynihan,Banking and Financial Services,1904.0,New Jersey,36
229,Bank of America,166400.0, North Carolina,Brian Moynihan,Banking and Financial Services,1904.0,New York,76
230,Bank of America,166400.0, North Carolina,Brian Moynihan,Banking and Financial Services,1904.0,North Carolina,45
231,Bank of America,166400.0, North Carolina,Brian Moynihan,Banking and Financial Services,1904.0,Ohio,73
232,Bank of America,166400.0, North Carolina,Brian Moynihan,Banking and Financial Services,1904.0,Pennsylvania,79
233,Bank of America,166400.0, North Carolina,Brian Moynihan,Banking and Financial Services,1904.0,Rhode Island,10
234,Bank of America,166400.0, North Carolina,Brian Moynihan,Banking and Financial Services,1904.0,South Carolina,54
235,Bank of America,166400.0, North Carolina,Brian Moynihan,Banking and Financial Services,1904.0,Texas,100
236,Bank of America,166400.0, North Carolina,Brian Moynihan,Banking and Financial Services,1904.0,Virginia,70
237,Bank of America,166400.0, North Carolina,Brian Moynihan,Banking and Financial Services,1904.0,Washington,51
238,Bank of America,166400.0, North Carolina,Brian Moynihan,Banking and Financial Services,1904.0,West Virginia,15
239,Bank of America,166400.0, North Carolina,Brian Moynihan,Banking and Financial Services,1904.0,Wisconsin,49
240,Banner Bank ,1935.0, Washington,Mark J. Grescovich,Banking and Financial Services,1890.0,Washington,44
241,Banner Health,50000.0, Arizona,Peter S Fine,Health Care,1999.0,Arizona,67
242,Baptist Health,11000.0, Arkansas,Troy Wells,Health Care,1921.0,Arkansas,15
243,Baptist Health (Alabama),5000.0, Alabama,W. Russell Tyner,Health Care,1955.0,Alabama,43
244,Baptist Health Jacksonville,12720.0, Florida,Michael A. Mayo,Health Care,1955.0,Florida,79
245,Baptist Health (Kentucky),23000.0, Kentucky,Gerard Colman,Health Care,1924.0,Kentucky,8
246,Baptist Health South Florida,23000.0, Florida,Brian E. Keeley,Health Care,1990.0,Florida,53
247,Baptist Health System (TX),6200.0, Texas,Benjamin Richaud,Health Care,1903.0,Texas,41
248,Barclays,81600.0, New York,C. S. Venkatakrishnan,Banking and Financial Services,1896.0,New Jersey,29
249,Barnes & Noble,23000.0, New York,James Daunt,Retail and Wholesale,1886.0,Illinois,71
250,Barnes & Noble,23000.0, New York,James Daunt,Retail and Wholesale,1886.0,Ohio,14
251,Bartell Drugs,24294.5, Washington,Kathi Lentzsch,Drugs & Biotechnology,1890.0,Washington,10
252,BASF,111047.0, New Jersey,Martin Brudermüller,"Construction, Oil & Gas Operations, Mining and Chemicals",1865.0,New Jersey,56
253,Basin Electric Power Cooperative,1800.0, North Dakota,Todd Telesz,Utilities,1961.0,North Dakota,3
254,Bass Pro,32000.0, Missouri,John Morris,Retail and Wholesale,1972.0,Georgia,67
255,Bass Pro,32000.0, Missouri,John Morris,Retail and Wholesale,1972.0,Missouri,46
256,Bassett Healthcare Network,5000.0, New York,Tommy Ibrahim,Health Care,1921.0,New York,53
257,Bath & Body Works,56900.0, Ohio,Andrew Meslow,Retail and Wholesale,1990.0,Georgia,47
258,Bath & Body Works,56900.0, Ohio,Andrew Meslow,Retail and Wholesale,1990.0,Illinois,89
259,Bath & Body Works,56900.0, Ohio,Andrew Meslow,Retail and Wholesale,1990.0,Maryland,39
260,Bath & Body Works,56900.0, Ohio,Andrew Meslow,Retail and Wholesale,1990.0,Michigan,67
261,Bath & Body Works,56900.0, Ohio,Andrew Meslow,Retail and Wholesale,1990.0,New Jersey,67
262,Bath & Body Works,56900.0, Ohio,Andrew Meslow,Retail and Wholesale,1990.0,North Carolina,51
263,Bath & Body Works,56900.0, Ohio,Andrew Meslow,Retail and Wholesale,1990.0,Ohio,48
264,Baton Rouge General Medical Center,12000.0, Louisiana,Edgardo Tenreiro,Health Care,1950.0,Louisiana,21
265,Baxter International,19000.0, Illinois,José E. Almeida,Health Care,1931.0,Illinois,17
266,Baxter International,19000.0, Illinois,José E. Almeida,Health Care,1931.0,New York,47
267,Baxter International,19000.0, Illinois,José E. Almeida,Health Care,1931.0,North Carolina,40
268,BAYADA Home Health Care,26000.0, New Jersey,David Baiada,Health Care,1975.0,Florida,76
269,BAYADA Home Health Care,26000.0, New Jersey,David Baiada,Health Care,1975.0,Hawaii,10
270,BAYADA Home Health Care,26000.0, New Jersey,David Baiada,Health Care,1975.0,New Jersey,35
271,BAYADA Home Health Care,26000.0, New Jersey,David Baiada,Health Care,1975.0,North Carolina,31
272,BayCare,27739.0, Florida,Tommy Inzina,Health Care,1997.0,Florida,10
273,Bayer ,99637.0, New Jersey,Werner Baumann,Drugs & Biotechnology,1863.0,Missouri,67
274,Bayhealth,4000.0, Delaware,Terry Murphy,Health Care,1997.0,Delaware,6
275,BCG (Boston Consulting Group),25000.0, Massachusetts,Christoph Schweizer,Professional Services,1963.0,Massachusetts,16
276,Beam Suntory,4800.0, Illinois,Albert Baladi,"Food, Soft Beverages, Alcohol & Tobacco",2011.0,Illinois,77
277,Beaumont Health,38000.0, Michigan,John T. Fox,Health Care,1955.0,Michigan,53
278,Beaverton School District,4104.0, Oregon,Don Grotting,Education,1876.0,Oregon,12
279,Bechtel,50000.0, Virginia,Brendan Bechtel,"Construction, Oil & Gas Operations, Mining and Chemicals",1898.0,Texas,11
280,Becton Dickinson,72000.0, New Jersey,Tom Polen,Health Care,1897.0,Utah,39
281,BECU,2485.0, Washington,J Benson Porter,Banking and Financial Services,1935.0,Washington,18
282,Belk,17000.0, North Carolina,Don Hendricks,Retail and Wholesale,1888.0,North Carolina,92
283,Bellevue Public Schools,2700.0, Nebraska,Art Jarvis,Education,1869.0,Nebraska,8
